"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.38425 0.32815 0.2687 0.18305 0.097 0.01565 -0.077 -0.16945 -0.2607 -0.36175 -0.45375 -0.0432 -0.04044 -0.04516 -0.04407 -0.0497 -0.06333 -0.085945 -0.131195 -0.17064 -0.21767 -0.26559 -0.301825 -0.006735 0.023855 0.10993 0.249525 0.32555 0.36288 0.373145 -0.038525 -0.012725 0.052 0.212175 0.311925 0.345515 0.363105 -0.06566 -0.068145 -0.020635 0.15967 0.29842 0.331725 0.352995 -0.1244 -0.099145 -0.06737 0.115445 0.26437 0.320355 0.343745 -0.19396 -0.153445 -0.116345 0.05919 0.245315 0.306095 0.33324 -0.270825 -0.2399 -0.169495 -0.015505 0.20574 0.27731 0.32006 -0.330345 -0.29664 -0.216965 -0.069965 0.17706 0.26548 0.303995 -0.398955 -0.359275 -0.292985 -0.123065 0.14043 0.238325 0.2801 -0.4235 -0.409965 -0.35348 -0.183145 0.10903 0.214085 0.270215 -0.44452 -0.430325 -0.401385 -0.23409 0.080405 0.20414 0.255175 -0.45099 -0.44617 -0.426745 -0.26844 0.029985 0.17666 0.235275 -0.45304 -0.45692 -0.436655 -0.312765 -0.001105 0.14583 0.22211 -0.453775 -0.449055 -0.449215 -0.34745 -0.04545 0.12316 0.21093 -0.46054 -0.45763 -0.449755 -0.38608 -0.0987 0.0934 0.1933 -0.459015 -0.46191 -0.45659 -0.41747 -0.13229 0.07254 0.16277 1
-0.46215 -0.4593 -0.45015 -0.45665 -0.46385 -0.4583 -0.45805 -0.4594 -0.45605 -0.4599 -0.45375 -0.45735 -0.4554 -0.45485 -0.4571 -0.4593 -0.45815 -0.4583 -0.4618 -0.457 -0.4542 -0.45795 -0.4556 -0.4549 -0.46195 -0.46045 -0.46 -0.46595 -0.45635 -0.4583 -0.4504 -0.4528 -0.4533 -0.45785 -0.45505 -0.4549 -0.45875 -0.45645 -0.4606 -0.46175 -0.46265 -0.45325 -0.4578 -0.452 -0.46345 -0.4573 -0.45655 -0.45835 -0.45855 -0.4613 -0.45255 -0.4606 -0.4563 -0.45785 -0.45865 -0.4572 -0.4556 -0.46105 -0.4569 -0.46625 -0.45825 -0.4624 -0.46435 -0.462 -0.4597 -0.4497 -0.4514 -0.44925 -0.46005 -0.4565 -0.4579 -0.4512 -0.46415 -0.4527 -0.45855 -0.4537 -0.4603 -0.4593 -0.4614 -0.4565 -0.46035 -0.4604 -0.4571 -0.45855 -0.4583 -0.4659 -0.45905 -0.45575 -0.4624 -0.4624 -0.4505 -0.4531 -0.45865 -0.45775 -0.4572 -0.46015 -0.4582 -0.45815 -0.4521 -0.457 -0.4558 -0.46165 -0.4531 -0.46075 -0.45305 -0.45685 -0.45555 -0.45495 -0.4512 -0.45625 -0.456 -0.45615 -0.45885 -0.4562 -0.46085 -0.45815 -0.4523 -0.45755 -0.46595 -0.46095 -0.45555 -0.4591 -0.4622 -0.4576 -0.4599 -0.45975 -0.4543 -0.4583 0.38425
0.8464 0.78745 0.71885 0.6397 0.56085 0.47395 0.38105 0.28995 0.19535 0.09815 0 0.41415 0.41496 0.40969 0.41303 0.4096 0.39482 0.372355 0.330605 0.28636 0.23653 0.19236 0.153775 0.448165 0.485805 0.57038 0.709525 0.7915 0.81923 0.831445 0.411875 0.440075 0.5053 0.670025 0.766975 0.800415 0.821855 0.39079 0.392455 0.441115 0.62232 0.75167 0.789525 0.804995 0.33905 0.358155 0.38918 0.573795 0.72292 0.781655 0.796295 0.26664 0.302855 0.341505 0.51784 0.702515 0.761695 0.79429 0.186075 0.22635 0.288755 0.446895 0.67009 0.73931 0.77976 0.119355 0.15476 0.232285 0.390085 0.63356 0.72338 0.755195 0.065195 0.093425 0.165565 0.330635 0.60073 0.697625 0.7415 0.033 0.050385 0.10692 0.273955 0.56758 0.672385 0.736115 0.01453 0.025425 0.061015 0.22831 0.530905 0.65724 0.713825 0.00675999999999999 0.01103 0.033405 0.18976 0.488135 0.62876 0.692275 0.00275999999999998 0.00473000000000001 0.016445 0.147985 0.451945 0.60268 0.67766 0.00117500000000004 0.00214500000000001 0.00703500000000001 0.10855 0.4107 0.58201 0.66713 0.000309999999999977 0.00052000000000002 0.00254499999999996 0.07147 0.36725 0.55435 0.64885 8.50000000000017e-05 0.000290000000000012 0.00101000000000001 0.04243 0.32746 0.52684 0.62107 0.8464
