"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.19695 0.11565 0.025725 -0.0612 -0.1529 -0.2429 -0.34095 -0.4347 -0.528425 -0.627925 -0.730375 -0.238425 -0.246665 -0.272055 -0.279965 -0.288645 -0.31171 -0.343325 -0.393115 -0.443735 -0.4879 -0.5385 -0.57756 -0.22496 -0.17751 -0.09632 0.056805 0.133045 0.16508 0.178265 -0.27946 -0.26003 -0.170805 0.003295 0.109585 0.148025 0.16741 -0.32653 -0.315415 -0.255605 -0.053725 0.082835 0.12938 0.1463 -0.382195 -0.36468 -0.32856 -0.117045 0.05257 0.11482 0.14053 -0.45864 -0.42715 -0.38543 -0.181415 0.0183 0.088285 0.127005 -0.540465 -0.50094 -0.43738 -0.25701 -0.01521 0.0678 0.10854 -0.611755 -0.57404 -0.50503 -0.319985 -0.054485 0.04127 0.084435 -0.66197 -0.633545 -0.559775 -0.39062 -0.09342 0.01347 0.063785 -0.696895 -0.676565 -0.62278 -0.443745 -0.134495 -0.013465 0.05425 -0.71433 -0.70439 -0.669505 -0.49381 -0.1804 -0.037755 0.02856 -0.72213 -0.71957 -0.69634 -0.537605 -0.219085 -0.061805 0.004535 -0.72853 -0.725675 -0.71558 -0.584305 -0.26609 -0.099925 -0.011075 -0.728065 -0.72846 -0.72114 -0.62254 -0.30668 -0.12304 -0.029685 -0.72944 -0.73044 -0.725 -0.65823 -0.35125 -0.154885 -0.052825 -0.730785 -0.72998 -0.73095 -0.686975 -0.387385 -0.18206 -0.076125 1
-0.72795 -0.72885 -0.7313 -0.73015 -0.7332 -0.72925 -0.732225 -0.730725 -0.726125 -0.726975 -0.730375 -0.72885 -0.728825 -0.73315 -0.732175 -0.729525 -0.728875 -0.728 -0.729225 -0.73125 -0.7276 -0.728425 -0.727825 -0.72855 -0.729525 -0.730225 -0.72665 -0.730725 -0.7289 -0.727275 -0.728425 -0.7314 -0.726975 -0.72925 -0.72865 -0.7289 -0.73005 -0.73195 -0.7312 -0.73015 -0.730825 -0.72955 -0.73015 -0.733075 -0.729575 -0.731825 -0.73145 -0.73105 -0.73135 -0.72865 -0.728225 -0.72985 -0.728775 -0.73235 -0.727075 -0.7309 -0.73125 -0.72705 -0.728575 -0.729025 -0.731125 -0.73 -0.729675 -0.728075 -0.729025 -0.72915 -0.727425 -0.73115 -0.727975 -0.73045 -0.729775 -0.729975 -0.727775 -0.72615 -0.727125 -0.72915 -0.72865 -0.73095 -0.731425 -0.72985 -0.72925 -0.729175 -0.726925 -0.727575 -0.728925 -0.727625 -0.729425 -0.73 -0.73005 -0.7281 -0.730125 -0.730075 -0.73155 -0.728625 -0.730825 -0.7293 -0.728575 -0.7289 -0.7246 -0.729525 -0.73105 -0.73035 -0.7309 -0.731275 -0.731075 -0.730875 -0.7258 -0.72915 -0.730425 -0.72835 -0.7291 -0.7286 -0.730025 -0.7297 -0.729775 -0.7311 -0.728 -0.728925 -0.7291 -0.7324 -0.730375 -0.7309 -0.730175 -0.73195 -0.72885 -0.724475 -0.72805 -0.727975 0.19695
0.9249 0.8445 0.757025 0.66895 0.5803 0.48635 0.391275 0.296025 0.1977 0.09905 0 0.490425 0.48216 0.461095 0.45221 0.44088 0.417165 0.384675 0.33611 0.287515 0.2397 0.189925 0.150265 0.50359 0.552015 0.633905 0.783455 0.86377 0.89398 0.90554 0.448965 0.47137 0.55617 0.732545 0.838235 0.876925 0.89746 0.40542 0.415785 0.474545 0.6771 0.812385 0.85953 0.879375 0.34738 0.367145 0.40289 0.614005 0.78392 0.84347 0.868755 0.27121 0.301625 0.34692 0.54566 0.7492 0.819535 0.854055 0.18811 0.228085 0.293745 0.47299 0.714465 0.795875 0.837565 0.117395 0.153385 0.22612 0.40799 0.675965 0.771045 0.81441 0.065805 0.0926049999999999 0.16735 0.33853 0.63523 0.74442 0.79521 0.032955 0.052685 0.106395 0.28318 0.59308 0.71546 0.781875 0.015095 0.02561 0.060545 0.23429 0.549725 0.69232 0.76011 0.00649499999999992 0.0112549999999999 0.03296 0.19097 0.509815 0.662795 0.73406 0.00251999999999997 0.0046750000000001 0.01532 0.14697 0.464985 0.63095 0.714725 0.001085 0.00196499999999999 0.00721000000000005 0.10656 0.42192 0.606985 0.700015 0.000334999999999974 0.000659999999999994 0.003 0.0706950000000001 0.37785 0.577515 0.67755 0.000114999999999976 0.000195000000000056 0.001 0.041875 0.33709 0.54599 0.65185 0.9249
