"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.225075 0.18915 0.125125 0.042275 -0.05545 -0.15475 -0.253975 -0.354925 -0.45185 -0.55265 -0.655975 -0.08495 -0.063515 -0.06116 -0.0952 -0.15617 -0.251975 -0.346725 -0.449185 -0.541745 -0.608515 -0.6365 -0.65114 0.006185 0.062 0.1257 0.192355 0.211065 0.224615 0.22404 -0.12122 -0.061775 0.03931 0.157195 0.20489 0.211705 0.22569 -0.23133 -0.195575 -0.08159 0.10509 0.1886 0.210585 0.207875 -0.34018 -0.291835 -0.210665 0.044285 0.162725 0.20147 0.20822 -0.46644 -0.395925 -0.3002 -0.02822 0.13943 0.17773 0.206005 -0.583175 -0.503765 -0.38747 -0.116125 0.09831 0.16095 0.19262 -0.644685 -0.606255 -0.469215 -0.19422 0.070915 0.151815 0.171695 -0.653715 -0.65056 -0.55745 -0.27342 0.021445 0.119425 0.162895 -0.654245 -0.65507 -0.627495 -0.351125 -0.00955 0.092525 0.15146 -0.65275 -0.6571 -0.649835 -0.42273 -0.06536 0.08592 0.130175 -0.653625 -0.654575 -0.65207 -0.473085 -0.100335 0.040415 0.111605 -0.65455 -0.6534 -0.654625 -0.522975 -0.14682 0.011315 0.09548 -0.6555 -0.652625 -0.65405 -0.582105 -0.196485 0.00294 0.083495 -0.654025 -0.657475 -0.65425 -0.632465 -0.23496 -0.04646 0.052495 -0.65325 -0.656875 -0.651825 -0.653685 -0.28581 -0.085975 0.024305 30
-0.65635 -0.65265 -0.6557 -0.65215 -0.65395 -0.65465 -0.6539 -0.654925 -0.65185 -0.65265 -0.655975 -0.655825 -0.653125 -0.653775 -0.655775 -0.6517 -0.656275 -0.6544 -0.653625 -0.65295 -0.655275 -0.650775 -0.654525 -0.65355 -0.65595 -0.653925 -0.652625 -0.656675 -0.652775 -0.6542 -0.65275 -0.6525 -0.65525 -0.654975 -0.65545 -0.6546 -0.65325 -0.655625 -0.655475 -0.6554 -0.6553 -0.655025 -0.651975 -0.658525 -0.65275 -0.654525 -0.656625 -0.65275 -0.653525 -0.65405 -0.6545 -0.654925 -0.6542 -0.653525 -0.6525 -0.653 -0.653625 -0.654125 -0.652775 -0.653775 -0.655875 -0.657575 -0.653525 -0.656325 -0.651175 -0.653875 -0.65605 -0.65425 -0.655775 -0.654475 -0.653975 -0.65575 -0.654175 -0.656175 -0.654025 -0.654575 -0.6537 -0.651275 -0.651975 -0.65425 -0.65525 -0.652875 -0.652925 -0.65355 -0.65775 -0.6563 -0.65275 -0.6571 -0.651925 -0.654925 -0.655175 -0.6524 -0.652575 -0.653625 -0.654575 -0.652125 -0.653425 -0.654125 -0.6517 -0.6529 -0.65455 -0.6534 -0.654625 -0.6512 -0.6534 -0.6535 -0.653675 -0.6555 -0.652625 -0.65405 -0.653875 -0.65645 -0.6548 -0.65525 -0.654025 -0.657475 -0.65425 -0.6544 -0.6557 -0.65405 -0.6525 -0.65325 -0.656875 -0.651825 -0.655575 -0.653975 -0.656675 -0.656125 0.22404
0.881425 0.8418 0.780825 0.694425 0.5985 0.4999 0.399925 0.3 0.2 0.1 0 0.570875 0.58961 0.592615 0.560575 0.49553 0.4043 0.307675 0.20444 0.111205 0.04676 0.014275 0.00338499999999997 0.659735 0.71795 0.779625 0.84498 0.86774 0.87739 0.87824 0.53153 0.590725 0.69456 0.81217 0.86034 0.866305 0.87894 0.424295 0.4599 0.57381 0.76039 0.843625 0.86256 0.8664 0.31257 0.36269 0.44596 0.697035 0.81625 0.85552 0.86272 0.188485 0.258275 0.353325 0.62428 0.79243 0.831355 0.86013 0.0696 0.15001 0.268405 0.54145 0.751835 0.817275 0.843795 0.00919000000000003 0.049795 0.185035 0.461555 0.72539 0.80579 0.827445 0.000459999999999905 0.00561499999999993 0.096575 0.381155 0.675145 0.7707 0.81487 5.00000000003276e-06 0.000179999999999958 0.02538 0.3018 0.644 0.750275 0.80776 0 0 0.00208999999999993 0.232195 0.589815 0.73832 0.78275 0 0 5.49999999999162e-05 0.18034 0.55379 0.692115 0.764505 0 0 0 0.128225 0.50658 0.664815 0.749155 0 0 0 0.07177 0.459965 0.65774 0.738745 0 0 0 0.0219349999999999 0.42074 0.60759 0.704995 0 0 0 0.00189000000000006 0.368165 0.5707 0.68043 0.87824
