"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.4598 0.48285 0.44615 0.37895 0.2892 0.19095 0.0889 -0.00589999999999996 -0.10155 -0.20415 -0.3069 0.13765 0.205025 0.244665 0.2389 0.181075 0.102385 0.008355 -0.103125 -0.1938 -0.26669 -0.291835 -0.301295 0.308245 0.36438 0.412965 0.45342 0.44142 0.45712 0.448795 0.22152 0.26822 0.36732 0.449465 0.464815 0.44145 0.449805 0.116385 0.15313 0.2666 0.423745 0.47646 0.46935 0.43655 0.01029 0.048205 0.136135 0.381805 0.461515 0.48996 0.46782 -0.1181 -0.056405 0.046985 0.31371 0.46485 0.47176 0.4957 -0.24418 -0.160445 -0.049855 0.225765 0.433225 0.459095 0.485315 -0.29961 -0.2555 -0.12565 0.1558 0.415535 0.47862 0.46804 -0.309485 -0.296685 -0.209315 0.066195 0.354145 0.441655 0.458625 -0.306545 -0.306035 -0.27592 -0.00619499999999999 0.3323 0.42434 0.475215 -0.30795 -0.307645 -0.30942 -0.07796 0.282675 0.42631 0.460175 -0.305 -0.30365 -0.30881 -0.126505 0.245185 0.37989 0.437615 -0.3103 -0.31575 -0.3125 -0.185795 0.19514 0.355215 0.41843 -0.3045 -0.3074 -0.30725 -0.238295 0.157385 0.342735 0.41874 -0.3143 -0.3049 -0.3084 -0.281085 0.109175 0.292615 0.39353 -0.3112 -0.3079 -0.30755 -0.307765 0.061775 0.26119 0.363595 50
-0.3053 -0.3073 -0.3143 -0.3095 -0.30805 -0.30865 -0.3111 -0.3059 -0.30155 -0.30415 -0.3069 -0.3121 -0.30735 -0.31015 -0.3108 -0.3107 -0.3065 -0.3022 -0.30855 -0.3062 -0.3121 -0.306 -0.3045 -0.3116 -0.31025 -0.31035 -0.30935 -0.30815 -0.30765 -0.31425 -0.3057 -0.31125 -0.31075 -0.3107 -0.3083 -0.306 -0.3063 -0.30925 -0.3087 -0.30645 -0.31485 -0.30865 -0.30825 -0.30655 -0.30375 -0.31275 -0.31025 -0.30755 -0.3079 -0.3126 -0.30945 -0.30595 -0.31325 -0.307 -0.3071 -0.3036 -0.3017 -0.3042 -0.3134 -0.31115 -0.31655 -0.31435 -0.3028 -0.30805 -0.30555 -0.3092 -0.3063 -0.3098 -0.3077 -0.30115 -0.30315 -0.30575 -0.30995 -0.3022 -0.3053 -0.3137 -0.31355 -0.30835 -0.30665 -0.30655 -0.30625 -0.30165 -0.30725 -0.30935 -0.30505 -0.31055 -0.30795 -0.30765 -0.3115 -0.30995 -0.30685 -0.30485 -0.3023 -0.305 -0.30365 -0.30885 -0.30695 -0.3089 -0.30635 -0.3078 -0.3103 -0.31575 -0.3125 -0.3117 -0.31075 -0.30465 -0.31215 -0.3045 -0.3074 -0.30725 -0.30985 -0.304 -0.31215 -0.31185 -0.3143 -0.3049 -0.3084 -0.303 -0.31165 -0.31305 -0.30655 -0.3112 -0.3079 -0.30755 -0.30965 -0.3066 -0.3082 -0.31 0.48996
0.7651 0.79015 0.76045 0.68845 0.59725 0.4996 0.4 0.3 0.2 0.1 0 0.44975 0.512375 0.554815 0.5497 0.491775 0.408885 0.310555 0.205425 0.1124 0.04541 0.014165 0.00320500000000001 0.619845 0.67463 0.723315 0.76277 0.74957 0.76477 0.763045 0.52722 0.57947 0.67807 0.760165 0.773115 0.74745 0.756105 0.425635 0.46183 0.57305 0.738595 0.78511 0.7776 0.7431 0.31404 0.360955 0.446385 0.689355 0.769415 0.80256 0.77727 0.18785 0.256845 0.353985 0.62081 0.76845 0.77346 0.7999 0.06922 0.150705 0.266695 0.540115 0.736025 0.767145 0.790865 0.00958999999999999 0.0508 0.18415 0.4635 0.716685 0.78177 0.77379 0.000464999999999993 0.00551500000000005 0.095985 0.379895 0.667695 0.750005 0.765275 4.99999999997724e-06 0.000215000000000021 0.02573 0.301055 0.64165 0.72939 0.785765 0 4.99999999997724e-06 0.00208000000000003 0.23199 0.589525 0.73116 0.762475 0 0 4.000000000004e-05 0.180445 0.554085 0.68624 0.745415 0 0 0 0.125905 0.50589 0.659865 0.73058 0 0 0 0.071555 0.461385 0.654885 0.73059 0 0 0 0.021915 0.420825 0.605665 0.70008 0 0 0 0.00188499999999997 0.368375 0.56939 0.673595 0.80256
