"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.1993 0.121025 0.0318 -0.055475 -0.150225 -0.237225 -0.333775 -0.430525 -0.5291 -0.627 -0.721875 -0.167 -0.22021 -0.249655 -0.26901 -0.2855 -0.30566 -0.3281 -0.368905 -0.417795 -0.460575 -0.522185 -0.56452 -0.18747 -0.157275 -0.082595 0.05772 0.14105 0.166775 0.1813 -0.266245 -0.23614 -0.160655 0.004645 0.1203 0.150815 0.17241 -0.316555 -0.29912 -0.24132 -0.04848 0.09109 0.13648 0.15801 -0.37663 -0.351885 -0.310635 -0.11274 0.055275 0.11748 0.14481 -0.439505 -0.416235 -0.371985 -0.183115 0.02089 0.08978 0.1347 -0.52206 -0.48252 -0.43318 -0.25096 -0.014205 0.066925 0.1178 -0.601275 -0.566945 -0.491405 -0.323885 -0.04765 0.04488 0.09203 -0.650585 -0.627435 -0.556545 -0.390465 -0.090415 0.01736 0.074355 -0.6888 -0.666445 -0.608365 -0.44742 -0.13542 -0.012555 0.052315 -0.710485 -0.698125 -0.66003 -0.490205 -0.172815 -0.03703 0.03602 -0.717625 -0.711575 -0.69026 -0.534305 -0.218145 -0.06381 0.012205 -0.723745 -0.72445 -0.707795 -0.581505 -0.25797 -0.09253 -0.0108 -0.722755 -0.723395 -0.718 -0.61683 -0.310615 -0.11745 -0.02712 -0.72441 -0.725295 -0.720385 -0.64956 -0.351685 -0.151155 -0.05014 -0.726465 -0.72575 -0.72325 -0.67754 -0.39027 -0.17987 -0.07572 1
-0.727275 -0.723175 -0.72715 -0.72365 -0.729625 -0.72395 -0.72505 -0.72545 -0.72735 -0.725975 -0.721875 -0.72585 -0.726225 -0.72485 -0.72695 -0.7278 -0.725725 -0.72195 -0.724125 -0.7252 -0.723725 -0.7267 -0.728525 -0.7229 -0.72665 -0.727225 -0.7245 -0.726875 -0.7281 -0.724025 -0.724625 -0.725775 -0.726225 -0.728025 -0.7255 -0.728 -0.725225 -0.72645 -0.7253 -0.725975 -0.72595 -0.725275 -0.726 -0.723875 -0.72755 -0.726275 -0.72465 -0.72715 -0.729225 -0.72475 -0.726475 -0.72305 -0.72585 -0.72575 -0.727575 -0.72775 -0.72735 -0.72335 -0.724175 -0.724025 -0.727125 -0.7243 -0.725725 -0.72885 -0.722225 -0.726525 -0.7275 -0.724775 -0.7271 -0.723625 -0.728025 -0.726675 -0.7249 -0.726425 -0.725975 -0.7275 -0.72365 -0.72585 -0.724325 -0.725525 -0.723575 -0.723375 -0.7269 -0.725975 -0.728 -0.7286 -0.728975 -0.726425 -0.72615 -0.7244 -0.72365 -0.728225 -0.724625 -0.72575 -0.724375 -0.72655 -0.727225 -0.72545 -0.724725 -0.72515 -0.72715 -0.730175 -0.7261 -0.727525 -0.723 -0.725325 -0.72725 -0.72385 -0.7259 -0.726 -0.726475 -0.727775 -0.723375 -0.727775 -0.724725 -0.72625 -0.723825 -0.723425 -0.7277 -0.727125 -0.72665 -0.7266 -0.726 -0.72445 -0.721525 -0.72515 -0.7259 -0.72765 0.1993
0.926575 0.8442 0.75895 0.668175 0.5794 0.486725 0.391275 0.294925 0.19825 0.098975 0 0.55885 0.506015 0.475195 0.45794 0.4423 0.420065 0.39385 0.35522 0.307405 0.26315 0.204515 0.164005 0.53543 0.569375 0.64463 0.78222 0.867925 0.894875 0.905325 0.45838 0.489635 0.56557 0.73267 0.8458 0.878815 0.897635 0.409895 0.42618 0.484655 0.67747 0.816365 0.86248 0.881885 0.35092 0.37439 0.414015 0.61441 0.7845 0.84223 0.871285 0.283545 0.309615 0.353765 0.54446 0.74864 0.81713 0.85805 0.202115 0.241505 0.293945 0.47334 0.71152 0.795775 0.840025 0.12525 0.160555 0.23337 0.403215 0.675975 0.772905 0.818705 0.074315 0.09899 0.16943 0.337035 0.633235 0.74321 0.79868 0.036725 0.05713 0.11501 0.27948 0.590555 0.715445 0.780915 0.01849 0.0283 0.06612 0.234195 0.550835 0.691195 0.760645 0.00812500000000005 0.0128 0.03629 0.19292 0.507305 0.660915 0.737355 0.00340499999999999 0.00572499999999998 0.018305 0.14602 0.46503 0.632795 0.71645 0.00109499999999996 0.00250499999999998 0.00800000000000001 0.109645 0.41716 0.605925 0.700655 0.000314999999999954 0.000954999999999928 0.00344 0.073865 0.376015 0.57597 0.67651 0.000134999999999996 0.000249999999999972 0.00120000000000009 0.0439849999999999 0.33488 0.54603 0.65193 0.926575
