"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.229575 0.18525 0.116975 0.03955 -0.054425 -0.148325 -0.2466 -0.34635 -0.4486 -0.55005 -0.6476 0.071895 -0.0216 -0.0752 -0.096275 -0.13897 -0.211575 -0.298935 -0.399215 -0.48674 -0.570485 -0.613815 -0.635245 0.01595 0.064985 0.123455 0.185935 0.21218 0.22683 0.2287 -0.110675 -0.04921 0.04373 0.14867 0.19949 0.210645 0.22658 -0.21364 -0.17371 -0.068795 0.102685 0.18306 0.2023 0.213215 -0.329935 -0.27869 -0.19533 0.035835 0.157155 0.19421 0.20408 -0.445065 -0.384255 -0.29246 -0.034185 0.129825 0.17417 0.198905 -0.560085 -0.491745 -0.37041 -0.10571 0.097495 0.154925 0.185365 -0.625555 -0.58232 -0.46225 -0.1894 0.062765 0.14549 0.171675 -0.644315 -0.632805 -0.54714 -0.26832 0.023235 0.1156 0.151635 -0.644965 -0.64678 -0.616565 -0.34572 -0.01497 0.090665 0.14689 -0.6499 -0.64701 -0.64329 -0.417095 -0.059835 0.07521 0.128295 -0.648875 -0.647275 -0.648095 -0.468345 -0.095525 0.037835 0.10383 -0.648025 -0.649425 -0.649595 -0.5241 -0.135875 0.012635 0.089845 -0.648225 -0.650125 -0.646525 -0.575105 -0.18608 -0.00322 0.081405 -0.64375 -0.6475 -0.652475 -0.619415 -0.23151 -0.04172 0.050355 -0.646075 -0.650725 -0.6477 -0.645525 -0.27549 -0.076925 0.027275 30
-0.648025 -0.6491 -0.65045 -0.64835 -0.65175 -0.647575 -0.646125 -0.6471 -0.649025 -0.65 -0.6476 -0.647 -0.64915 -0.6499 -0.6464 -0.6466 -0.6455 -0.645625 -0.6474 -0.645775 -0.6488 -0.647175 -0.64595 -0.64915 -0.648 -0.648975 -0.646925 -0.649075 -0.647325 -0.647425 -0.64895 -0.6461 -0.6471 -0.650025 -0.6497 -0.65015 -0.648025 -0.6472 -0.64635 -0.647075 -0.6447 -0.6456 -0.65185 -0.6482 -0.65 -0.648175 -0.6496 -0.64875 -0.648 -0.6492 -0.651675 -0.647625 -0.6498 -0.648125 -0.647375 -0.64845 -0.64755 -0.64705 -0.64705 -0.650525 -0.646025 -0.646875 -0.645 -0.648775 -0.647375 -0.644575 -0.645125 -0.64975 -0.649525 -0.6475 -0.645625 -0.647625 -0.645975 -0.644375 -0.649225 -0.64775 -0.6462 -0.645725 -0.6514 -0.645025 -0.647625 -0.649925 -0.646625 -0.648975 -0.64935 -0.644975 -0.6499 -0.647025 -0.6478 -0.649875 -0.6487 -0.646625 -0.64615 -0.648875 -0.647275 -0.6484 -0.6484 -0.645 -0.6477 -0.6498 -0.648025 -0.649425 -0.6496 -0.6498 -0.644725 -0.6475 -0.649175 -0.648225 -0.650125 -0.646525 -0.648375 -0.646575 -0.64905 -0.6465 -0.64375 -0.6475 -0.652475 -0.645775 -0.6488 -0.645875 -0.64985 -0.646075 -0.650725 -0.6477 -0.649525 -0.646125 -0.647575 -0.6478 0.2287
0.8776 0.83435 0.767425 0.6879 0.597325 0.49925 0.399525 0.30075 0.200425 0.09995 0 0.718895 0.62755 0.5747 0.550125 0.50763 0.433925 0.34669 0.248185 0.159035 0.078315 0.0333599999999999 0.0107050000000001 0.6651 0.712985 0.77243 0.83286 0.861255 0.874155 0.876125 0.538275 0.59689 0.69083 0.798695 0.84919 0.860795 0.874605 0.43356 0.47264 0.57828 0.747385 0.82866 0.85415 0.861415 0.320065 0.369485 0.45427 0.684585 0.805155 0.84341 0.855755 0.20256 0.265545 0.355665 0.61319 0.778275 0.82172 0.845955 0.086965 0.15878 0.275615 0.541165 0.742495 0.8037 0.83274 0.01902 0.0628049999999999 0.1875 0.460125 0.710265 0.791115 0.8193 0.00165999999999999 0.0115700000000001 0.102085 0.37943 0.669435 0.761325 0.803035 5.9999999999949e-05 0.000844999999999985 0.0333599999999999 0.300905 0.634005 0.740015 0.791865 0 1.49999999999872e-05 0.00451000000000001 0.23278 0.588865 0.721835 0.774445 0 0 0.000305 0.180055 0.549475 0.685535 0.75363 0 0 4.99999999992173e-06 0.1257 0.50885 0.660135 0.73902 0 0 0 0.0732700000000001 0.460495 0.64583 0.727905 0 0 0 0.0263599999999999 0.41729 0.604155 0.700205 0 0 0 0.004 0.370635 0.57065 0.675075 0.876125
