"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129"
0.45775 0.4743 0.44215 0.37725 0.297 0.20315 0.1034 0.00820000000000004 -0.10075 -0.1964 -0.29785 0.32239 0.24497 0.21967 0.220915 0.185765 0.13923 0.044715 -0.044815 -0.14169 -0.21131 -0.257885 -0.282625 0.314835 0.356005 0.4015 0.440045 0.446765 0.44951 0.454675 0.228425 0.270985 0.359145 0.435495 0.45781 0.44424 0.457035 0.1324 0.174775 0.26816 0.41284 0.4691 0.46138 0.443515 0.02691 0.07332 0.15872 0.367965 0.45701 0.478925 0.459685 -0.092635 -0.02743 0.06009 0.32206 0.44206 0.456305 0.483235 -0.20874 -0.1372 -0.020445 0.251285 0.41868 0.448555 0.471325 -0.271705 -0.23506 -0.10548 0.165865 0.40252 0.452275 0.45766 -0.292845 -0.279155 -0.19844 0.08023 0.361365 0.42671 0.455125 -0.29363 -0.293375 -0.26072 -0.00514499999999999 0.33582 0.41397 0.462765 -0.2994 -0.29393 -0.296185 -0.062185 0.28641 0.407095 0.44763 -0.29925 -0.3003 -0.295885 -0.11753 0.246185 0.38466 0.42713 -0.2966 -0.29175 -0.292445 -0.16918 0.203775 0.354035 0.41108 -0.2949 -0.298 -0.29165 -0.216825 0.157045 0.34069 0.41425 -0.2882 -0.297 -0.2973 -0.26827 0.112745 0.301835 0.392545 -0.29445 -0.295 -0.29235 -0.281485 0.07204 0.277085 0.363265 58
-0.29925 -0.29965 -0.29905 -0.29935 -0.2947 -0.2939 -0.2959 -0.2934 -0.30125 -0.29605 -0.29785 -0.2872 -0.293 -0.29615 -0.29605 -0.3009 -0.2936 -0.29845 -0.29445 -0.2974 -0.29255 -0.29255 -0.29395 -0.296 -0.2927 -0.2968 -0.2946 -0.29255 -0.3015 -0.29745 -0.2942 -0.3013 -0.297 -0.30015 -0.29695 -0.2938 -0.29305 -0.29675 -0.29275 -0.29855 -0.2972 -0.2919 -0.29385 -0.2976 -0.2953 -0.2961 -0.29675 -0.29785 -0.2943 -0.28805 -0.30065 -0.2963 -0.29455 -0.29695 -0.28965 -0.3011 -0.2991 -0.29545 -0.29525 -0.29705 -0.29405 -0.28895 -0.29555 -0.3003 -0.2946 -0.29005 -0.29875 -0.29455 -0.2948 -0.2912 -0.29805 -0.2958 -0.2943 -0.2909 -0.2994 -0.29895 -0.29615 -0.30215 -0.29685 -0.29365 -0.29435 -0.2941 -0.3017 -0.2898 -0.29655 -0.29345 -0.2994 -0.29395 -0.30065 -0.29685 -0.297 -0.2969 -0.29625 -0.29925 -0.3003 -0.29615 -0.29775 -0.29995 -0.29145 -0.29345 -0.2966 -0.29175 -0.29245 -0.2964 -0.2996 -0.295 -0.3013 -0.2949 -0.298 -0.29165 -0.29015 -0.301 -0.29935 -0.29645 -0.2882 -0.297 -0.2973 -0.2946 -0.3034 -0.29805 -0.29395 -0.29445 -0.295 -0.29235 -0.28565 -0.29725 -0.29005 -0.29985 0.483235
0.757 0.77395 0.7412 0.6766 0.5917 0.49705 0.3993 0.3016 0.2005 0.09965 0 0.60959 0.53797 0.51582 0.516965 0.486665 0.43283 0.343165 0.249635 0.15571 0.08124 0.034665 0.011325 0.610835 0.648705 0.6983 0.734645 0.739315 0.75101 0.752125 0.522625 0.572285 0.656145 0.735645 0.75476 0.73804 0.750085 0.42915 0.467525 0.56671 0.71004 0.761 0.75523 0.741115 0.32221 0.36942 0.45547 0.665815 0.75131 0.766975 0.760335 0.203665 0.26712 0.35704 0.61171 0.74316 0.755405 0.778685 0.08651 0.15985 0.273605 0.540235 0.71423 0.748855 0.765925 0.0183449999999999 0.06369 0.18907 0.460665 0.69372 0.750325 0.75346 0.00145499999999998 0.011745 0.10096 0.37918 0.657515 0.72886 0.751975 2.000000000002e-05 0.000975000000000004 0.03338 0.296555 0.62562 0.71052 0.756215 0 1.99999999999645e-05 0.004465 0.234665 0.58341 0.703995 0.74388 0 0 0.000265000000000015 0.18022 0.546135 0.67611 0.72058 0 0 4.99999999997724e-06 0.12722 0.503375 0.649035 0.71238 0 0 0 0.073325 0.458045 0.64004 0.7107 0 0 0 0.02633 0.416145 0.599885 0.686495 0 0 0 0.00416500000000003 0.36929 0.567135 0.663115 0.778685
